,IDcensus,census_city,state,Pop2010,Pop2011,Pop2012,Pop2013,Pop2014,Pop2015,Pop2016,Pop2017,Pop2018,Pop2019,citystate,state_id,lat,lng
307,562,Kenner,Louisiana,66635,66814,66781,66836,66776,66896,67083,66933,66584,66340,"Kenner, Louisiana",LA,30.0109,-90.2549
308,406,Kennewick,Washington,74447,75585,75930,76579,77339,78724,80081,81621,82696,84347,"Kennewick, Washington",WA,46.1978,-119.1732
309,315,Kenosha,Wisconsin,99397,99560,99859,99704,99728,99479,99388,99785,99908,99944,"Kenosha, Wisconsin",WI,42.5864,-87.8765
310,210,Kent,Washington,119067,122165,124739,126118,127727,129241,130508,131697,131734,132319,"Kent, Washington",WA,47.3887,-122.2129
311,752,Kentwood,Michigan,48732,49186,49752,50352,50861,51352,51742,51781,51829,51898,"Kentwood, Michigan",MI,42.8852,-85.5925
312,706,Kettering,Ohio,56131,56000,55925,55798,55552,55375,55244,55144,55014,54855,"Kettering, Ohio",OH,39.6957,-84.1495
313,172,Killeen,Texas,129024,130838,134240,136294,137589,140147,142854,145149,148683,151666,"Killeen, Texas",TX,31.0754,-97.7296
314,717,Kingsport,Tennessee,52953,52924,52739,52817,52822,52757,52521,53487,54006,54127,"Kingsport, Tennessee",TN,36.5224,-82.5453
315,356,Kirkland,Washington,80866,82036,83358,84455,85971,87312,87990,89010,89909,93010,"Kirkland, Washington",WA,47.6974,-122.2054
316,493,Kissimmee,Florida,59694,61323,63422,64921,66509,68633,69407,71446,73751,72717,"Kissimmee, Florida",FL,28.3042,-81.4164
317,134,Knoxville,Tennessee,178258,179955,181093,181779,182631,184046,184986,186905,187362,187603,"Knoxville, Tennessee",TN,35.9692,-83.9496
318,664,Kokomo,Indiana,58193,58208,58212,58204,58158,57980,57762,57858,57922,58020,"Kokomo, Indiana",IN,40.464,-86.1277
319,762,La Crosse,Wisconsin,51376,51225,51962,51885,52145,52023,51830,51718,51491,51227,"La Crosse, Wisconsin",WI,43.824,-91.2268
320,623,La Habra,California,59108,59658,59970,60224,60421,60473,60292,60898,60778,60513,"La Habra, California",CA,33.9278,-117.9513
321,645,La Mesa,California,57149,57644,58099,58556,58855,59697,59751,59722,59389,59249,"La Mesa, California",CA,32.7703,-117.0204
322,746,Lacey,Washington,42708,43423,43947,44761,45271,46071,47309,49632,50600,52592,"Lacey, Washington",WA,47.04600000000001,-122.7934
323,506,Lafayette,Indiana,68925,69916,70163,70976,71012,71143,71960,72110,72233,71721,"Lafayette, Indiana",IN,40.399,-86.8594
324,219,Lafayette,Louisiana,121836,122674,123587,124873,126036,126922,127221,126526,126371,126185,"Lafayette, Louisiana",LA,30.2084,-92.0323
325,560,Laguna Niguel,California,63119,63774,64134,64381,65079,65396,65145,66011,66079,66385,"Laguna Niguel, California",CA,33.5275,-117.705
326,449,Lake Charles,Louisiana,72531,72873,73665,73886,74513,75685,76462,77586,78266,78396,"Lake Charles, Louisiana",LA,30.2012,-93.2122
